OUTPUT Filename,Site,Buoy Size,Total mass,Waves,Current,Main mooring length,Chain Length,Max Tension,Max Anchor Fx,Max Anchor Fz,Min Clearance,% time submerged,Chain cost,Tether Cost,Anchor weight required,,Anchor cost,total mooring cost
PW_buoyM_mass1645_wavesMax_currAve,PacWave,Medium,1645,Max,Average,75,40,9390.030273,8529.780273,2886.340088,-5.291898044,0.245799328,1148.294,953.5827,8318.827673,28,15400,18501.8767
PW_buoyM_mass2045_wavesMax_currAve,PacWave,Medium,2045,Max,Average,75,40,9553.943359,8829.740234,2896.179688,-5.608893928,0.304368699,1148.294,953.5827,8590.763612,29,15700,18801.8767
PW_buoyM_mass2545_wavesMax_currAve,PacWave,Medium,2545,Max,Average,75,40,9226.588867,8329.436523,2790.733643,-6.005547571,0.388862218,1148.294,953.5827,8117.186244,27,15100,18201.8767
PW_buoyM_mass3545_wavesMax_currAve,PacWave,Medium,3545,Max,Average,75,40,9466.047852,8673.637695,2871.523926,-8.622563325,0.534805569,1148.294,953.5827,8444.853594,28,15400,18501.8767
PW_buoyM_mass4545_wavesMax_currAve,PacWave,Medium,4545,Max,Average,75,40,12271.19629,11559.60938,3312.412109,-9.476252327,0.795967355,1148.294,953.5827,11139.031,37,20100,23201.8767
PW_buoyM_mass1645_wavesAve_currMax,PacWave,Medium,1645,Average,Max,75,40,1985.508057,1576.884155,37.7298317,0.436141943,0,1148.294,953.5827,1426.415898,5,2500,5601.8767
PW_buoyM_mass2045_wavesAve_currMax,PacWave,Medium,2045,Average,Max,75,40,2294.364502,1831.635498,192.2953491,0.339853255,0,1148.294,953.5827,1690.234634,6,3800,6901.8767
PW_buoyM_mass2545_wavesAve_currMax,PacWave,Medium,2545,Average,Max,75,40,2708.354248,2242.125488,378.0930481,0.27991674,0,1148.294,953.5827,2101.114556,7,4100,7201.8767
PW_buoyM_mass3545_wavesAve_currMax,PacWave,Medium,3545,Average,Max,75,40,3428.888184,2908.666748,685.31073,0.130255786,0,1148.294,953.5827,2769.530992,9,4700,7801.8767
PW_buoyM_mass4545_wavesAve_currMax,PacWave,Medium,4545,Average,Max,75,40,4147.239258,3591.841797,946.6365967,-0.11359152,0.006721075,1148.294,953.5827,3442.588051,11,6300,9401.8767
WT_buoyM_mass1645_wavesMax_currAve,WETS,Medium,1645,Max,Average,55,40,8367.482422,7734.583008,2260.309814,-4.952625197,0.408545367,1148.294,763.29398,7463.054687,25,13500,16411.58798
WT_buoyM_mass2045_wavesMax_currAve,WETS,Medium,2045,Max,Average,55,40,10164.12402,9610.078125,2697.852539,-4.94782366,0.348055689,1148.294,763.29398,9247.859501,31,17300,20211.58798
WT_buoyM_mass2545_wavesMax_currAve,WETS,Medium,2545,Max,Average,55,40,10272.03125,9691.780273,2685.292969,-4.574996527,0.424867979,1148.294,763.29398,9318.502681,31,17300,20211.58798
WT_buoyM_mass3545_wavesMax_currAve,WETS,Medium,3545,Max,Average,55,40,9279.978516,8689.694336,2580.59082,-6.778890045,0.563610178,1148.294,763.29398,8393.889963,28,15400,18311.58798
WT_buoyM_mass4545_wavesMax_currAve,WETS,Medium,4545,Max,Average,55,40,11042.60449,10482.84375,2722.258545,-7.363864239,0.793086894,1148.294,763.29398,10038.13682,33,17900,20811.58798
WT_buoyM_mass1645_wavesAve_currMax,WETS,Medium,1645,Average,Max,55,40,774.2819214,515.0916748,9.826310158,0.389973577,0,1148.294,763.29398,465.3793885,2,1600,4511.58798
