OUTPUT Filename,Site,Buoy Size,Total mass,Payload,Waves,Current,Main mooring length,Chain Length,Max Tension,Max Anchor Fx,Max Anchor Fz,Min Clearance,Chain cost,Tether Cost,Anchor weight required,,Anchor cost,total mooring cost,Tether safety factor,Run 2
PW_buoyM_mass4900_RGwavesMax_currAve.dat,PacWave,Medium,4900,0,Max,Average,75,10,2099,1442,1217,0.9,$287,"$1,868",1570,2,"$1,600","$4,755",63.8,
PW_buoyM_mass6900_RGwavesMax_currAve.dat,PacWave,Medium,6900,2000,Max,Average,75,10,2672,1927,1548,0.7,$287,"$1,868",2081,3,"$1,900","$5,055",50.1,
PW_buoyM_mass8900_RGwavesMax_currAve.dat,PacWave,Medium,8900,4000,Max,Average,75,10,3251,2456,1847,0.5,$287,"$1,868",2623,3,"$1,900","$5,055",41.2,
PW_buoyM_mass11900_RGwavesMax_currAve.dat,PacWave,Medium,11900,7000,Max,Average,75,10,3963,3117,2173,0.2,$287,"$1,868",3291,4,"$2,200","$5,355",33.8,
PW_buoyM_mass15900_RGwavesMax_currAve.dat,PacWave,Medium,15900,11000,Max,Average,75,10,6361,5421,3007,-1.9,$287,"$1,868",5551,7,"$4,100","$7,255",21.0,
PW_buoyM_mass4900_RGwavesAve_currMax.dat,PacWave,Medium,4900,0,Average,Max,75,10,2703,2104,1445,1.0,$287,"$1,868",2217,3,"$1,900","$5,055",49.5,
PW_buoyM_mass6900_RGwavesAve_currMax.dat,PacWave,Medium,6900,2000,Average,Max,75,10,3397,2735,1788,0.9,$287,"$1,868",2862,4,"$2,200","$5,355",39.4,
PW_buoyM_mass8900_RGwavesAve_currMax.dat,PacWave,Medium,8900,4000,Average,Max,75,10,4070,3366,2083,0.7,$287,"$1,868",3495,4,"$2,200","$5,355",32.9,
PW_buoyM_mass11900_RGwavesAve_currMax.dat,PacWave,Medium,11900,7000,Average,Max,75,10,5029,4287,2449,0.4,$287,"$1,868",4406,6,"$3,800","$6,955",26.6,
PW_buoyM_mass15900_RGwavesAve_currMax.dat,PacWave,Medium,15900,11000,Average,Max,75,10,7679,6988,3247,-0.7,$287,"$1,868",7014,9,"$4,700","$7,855",17.4,
WT_buoyM_mass4900_RGwavesMax_currAve.dat,WETS,Medium,4900,0,Max,Average,56,10,1131,803,533,1.0,$287,"$1,687",841,1,$300,"$3,274",118.3,
WT_buoyM_mass6900_RGwavesMax_currAve.dat,WETS,Medium,6900,2000,Max,Average,56,10,1396,991,719,0.8,$287,"$1,687",1053,1,$300,"$3,274",95.9,
WT_buoyM_mass8900_RGwavesMax_currAve.dat,WETS,Medium,8900,4000,Max,Average,56,10,1662,1200,900,0.6,$287,"$1,687",1281,2,"$1,600","$4,574",80.6,
WT_buoyM_mass11900_RGwavesMax_currAve.dat,WETS,Medium,11900,7000,Max,Average,56,10,2095,1551,1158,0.3,$287,"$1,687",1655,2,"$1,600","$4,574",63.9,
WT_buoyM_mass15900_RGwavesMax_currAve.dat,WETS,Medium,15900,11000,Max,Average,56,10,3866,3105,1986,-0.8,$287,"$1,687",3238,4,"$2,200","$5,174",34.6,
WT_buoyM_mass4900_RGwavesAve_currMax.dat,WETS,Medium,4900,0,Average,Max,56,10,980,726,397,1.0,$287,"$1,687",742,1,$300,"$3,274",136.6,
WT_buoyM_mass6900_RGwavesAve_currMax.dat,WETS,Medium,6900,2000,Average,Max,56,10,1205,898,561,0.9,$287,"$1,687",933,1,$300,"$3,274",111.1,
WT_buoyM_mass8900_RGwavesAve_currMax.dat,WETS,Medium,8900,4000,Average,Max,56,10,1416,1066,703,0.7,$287,"$1,687",1116,1,$300,"$3,274",94.6,
WT_buoyM_mass11900_RGwavesAve_currMax.dat,WETS,Medium,11900,7000,Average,Max,56,10,1767,1347,909,0.4,$287,"$1,687",1415,2,"$1,600","$4,574",75.8,
WT_buoyM_mass15900_RGwavesAve_currMax.dat,WETS,Medium,15900,11000,Average,Max,56,10,1992,1487,992,-0.3,$287,"$1,687",1560,2,"$1,600","$4,574",67.2,
MA_buoyM_mass4900_RGwavesMax_currAve.dat,Mid Atlantic,Medium,4900,0,Max,Average,85,10,6989,6299,3040,0.8,$287,"$1,963",6347,8,"$4,400","$7,650",19.2,
